Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0077226","2,2038E-05","0,039426",0,0,0,"0,18039","0,00029984","5,4554E-08","3,0558E-05","0,00023582","-1,1356E-07","0,00035246",0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/base_link.STL,,Futsumo2-1;Sensor_lateral-2;Sensor_frontal-1;Sensor_lateral-1;motor_resqube-2;motor_resqube-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rueda_der_Link,"3,8164E-17","-6,9389E-18","-0,009453",0,0,0,"0,014718","1,3755E-06","-1,0588E-22","-4,412E-23","1,3755E-06","2,7363E-23","1,6697E-06",0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/rueda_der_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/rueda_der_Link.STL,,Rueda_resqube-1,Origin_rueda_der_joint,Axis_rueda_der_joint,rueda_der_joint,continuous,"-0,038712","-0,05","0,0073","1,5708","-0,59492",0,base_link,0,0,1,100,100,,,,,"0,1","0,1",,,,
rueda_izq_Link,"1,3878E-17","-2,6021E-17","-0,010547",0,0,0,"0,014718","1,3755E-06",0,"1,0421E-22","1,3755E-06","-1,2799E-22","1,6697E-06",0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/rueda_izq_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Resqube_ensamblaje/meshes/rueda_izq_Link.STL,,Rueda_resqube-2,Origin_rueda_izq_joint,Axis_rueda_izq_joint,rueda_izq_joint,continuous,"-0,038712","0,031","0,0073","1,5708","1,3691",0,base_link,0,0,-1,100,100,,,,,"0,1","0,1",,,,
